Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,ICA_PM10,ICA_PM2.5,ICA_NO2,Calidad_Aire
29.8,59.1,5.2,17.9,18.9,9.2,1.72,16.574074074074073,21.666666666666668,17.830188679245282,Excelente
28.3,75.6,2.3,12.2,30.8,9.7,1.64,11.296296296296296,9.583333333333334,29.056603773584907,Excelente
23.1,74.7,26.7,33.8,24.4,12.6,1.63,31.296296296296294,81.70386266094421,23.0188679245283,Buena
27.1,39.1,6.1,6.3,13.5,5.3,1.15,5.833333333333333,25.416666666666668,12.735849056603774,Excelente
26.5,70.7,6.9,16.0,21.9,5.6,1.01,14.814814814814815,28.750000000000004,20.660377358490564,Excelente
39.4,96.6,14.6,35.5,42.9,17.9,1.82,32.870370370370374,56.257510729613735,40.471698113207545,Buena
41.7,82.5,1.7,15.8,31.1,12.7,1.8,14.62962962962963,7.083333333333334,29.339622641509436,Excelente
31.0,59.6,5.0,16.8,24.2,13.6,1.38,15.555555555555557,20.833333333333336,22.830188679245282,Excelente
29.4,93.8,10.3,22.7,45.1,11.8,2.03,21.01851851851852,42.91666666666667,42.54716981132076,Excelente
33.2,80.5,11.1,24.4,32.0,15.3,1.69,22.59259259259259,46.25,30.18867924528302,Excelente
26.3,65.7,1.3,5.5,18.3,5.9,0.85,5.092592592592593,5.416666666666667,17.264150943396228,Excelente
32.5,51.2,1.6,10.5,21.6,19.3,1.53,9.722222222222221,6.666666666666668,20.37735849056604,Excelente
20.0,53.3,3.7,12.9,26.1,6.6,1.09,11.944444444444445,15.416666666666668,24.622641509433965,Excelente
28.6,53.7,28.9,34.0,23.2,4.5,1.02,31.48148148148148,86.3304721030043,21.88679245283019,Buena
22.3,80.5,4.5,12.0,17.2,6.3,1.18,11.11111111111111,18.75,16.22641509433962,Excelente
32.0,78.9,22.4,29.9,27.5,11.8,1.48,27.685185185185183,72.66094420600858,25.943396226415096,Buena
22.9,75.4,4.5,10.4,18.4,3.7,0.96,9.62962962962963,18.75,17.358490566037734,Excelente
37.6,81.2,28.1,56.6,46.7,13.7,1.85,51.79191919191919,84.6480686695279,44.05660377358491,Buena
34.7,59.3,9.0,15.7,28.5,7.1,1.52,14.537037037037036,37.5,26.88679245283019,Excelente
37.8,97.2,0.6,24.6,37.1,11.7,1.13,22.77777777777778,2.5,35.0,Excelente
27.6,44.1,3.5,14.4,30.7,9.4,0.97,13.333333333333334,14.583333333333334,28.962264150943398,Excelente
27.6,77.5,3.8,10.9,9.1,1.7,1.04,10.092592592592593,15.833333333333334,8.584905660377359,Excelente
25.6,58.3,0.4,-0.2,25.3,4.5,0.98,,1.666666666666667,23.867924528301888,Desconocido
24.6,48.4,8.3,15.4,23.3,4.6,1.03,14.25925925925926,34.583333333333336,21.9811320754717,Excelente
