Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Calidad_Aire
29.8,59.1,5.2,17.9,18.9,9.2,1.72,Excelente
28.3,75.6,2.3,12.2,30.8,9.7,1.64,Excelente
23.1,74.7,26.7,33.8,24.4,12.6,1.63,Buena
27.1,39.1,6.1,6.3,13.5,5.3,1.15,Excelente
26.5,70.7,6.9,16.0,21.9,5.6,1.01,Excelente
39.4,96.6,14.6,35.5,42.9,17.9,1.82,Buena
41.7,82.5,1.7,15.8,31.1,12.7,1.8,Excelente
31.0,59.6,5.0,16.8,24.2,13.6,1.38,Excelente
29.4,93.8,10.3,22.7,45.1,11.8,2.03,Excelente
33.2,80.5,11.1,24.4,32.0,15.3,1.69,Excelente
26.3,65.7,1.3,5.5,18.3,5.9,0.85,Excelente
32.5,51.2,1.6,10.5,21.6,19.3,1.53,Excelente
20.0,53.3,3.7,12.9,26.1,6.6,1.09,Excelente
28.6,53.7,28.9,34.0,23.2,4.5,1.02,Buena
22.3,80.5,4.5,12.0,17.2,6.3,1.18,Excelente
32.0,78.9,22.4,29.9,27.5,11.8,1.48,Buena
22.9,75.4,4.5,10.4,18.4,3.7,0.96,Excelente
37.6,81.2,28.1,56.6,46.7,13.7,1.85,Buena
34.7,59.3,9.0,15.7,28.5,7.1,1.52,Excelente
37.8,97.2,0.6,24.6,37.1,11.7,1.13,Excelente
27.6,44.1,3.5,14.4,30.7,9.4,0.97,Excelente
27.6,77.5,3.8,10.9,9.1,1.7,1.04,Excelente
25.6,58.3,0.4,-0.2,25.3,4.5,0.98,Desconocido
24.6,48.4,8.3,15.4,23.3,4.6,1.03,Excelente
26.2,49.9,0.5,2.0,22.9,2.3,0.94,Excelente
22.6,62.1,16.4,21.3,17.6,4.8,0.93,Buena
30.0,69.2,2.0,3.9,15.3,5.2,1.09,Excelente
37.6,72.2,10.1,16.6,32.2,6.3,1.85,Excelente
29.6,65.6,3.4,9.3,20.6,2.9,1.03,Excelente
52.5,83.9,67.5,91.2,31.6,34.6,2.31,Mala
44.7,97.9,34.6,57.3,28.1,22.6,1.78,Buena
23.3,45.2,24.0,29.0,26.6,5.3,0.96,Buena
35.4,100.2,20.5,33.2,34.4,11.7,1.85,Buena
29.7,85.8,84.4,94.4,26.7,19.8,1.55,Mala
21.8,79.6,7.1,16.8,14.5,6.0,0.91,Excelente
27.7,86.1,83.3,93.5,25.3,6.8,1.71,Mala
27.5,78.9,30.2,34.1,15.3,3.0,0.98,Buena
28.0,72.2,18.5,25.0,24.9,6.1,1.32,Buena
22.2,50.0,2.3,8.4,23.5,3.7,0.96,Excelente
33.3,70.1,55.1,72.7,40.5,30.7,2.12,Regular
37.5,83.7,3.1,2.2,39.5,29.2,2.61,Excelente
30.9,94.4,48.3,67.1,31.4,23.3,1.75,Regular
39.3,78.9,68.9,85.2,43.7,13.0,1.7,Mala
24.7,64.9,17.3,37.0,27.2,14.9,1.48,Buena
27.8,62.8,8.7,13.2,29.7,15.8,1.4,Excelente
17.4,56.5,2.6,6.9,21.0,3.5,0.92,Excelente
18.1,70.1,3.1,8.1,19.7,5.8,1.18,Excelente
25.6,78.1,1.1,5.2,21.3,6.1,0.89,Excelente
22.4,69.3,2.2,8.4,19.6,3.0,0.92,Excelente
25.3,47.4,70.7,84.8,22.4,8.2,1.59,Mala
42.1,89.8,12.1,35.3,41.4,30.4,2.67,Buena
27.5,45.3,2.8,10.1,13.7,4.1,0.82,Excelente
32.6,65.1,4.1,19.3,28.0,14.5,1.45,Excelente
46.1,100.3,144.0,169.8,42.5,16.1,2.3,Mala
33.5,81.2,23.4,56.5,34.2,27.2,1.95,Buena
48.1,94.1,4.2,19.0,23.7,6.0,1.57,Excelente
31.6,76.7,21.4,26.9,30.1,17.4,1.29,Buena
29.0,83.5,31.5,44.4,27.0,-2.8,1.49,Buena
24.9,82.2,19.5,27.9,25.6,2.0,1.54,Buena
27.7,99.4,17.8,29.9,37.5,9.9,1.74,Buena
20.8,48.5,16.0,19.7,11.2,2.5,1.17,Buena
28.2,71.7,75.2,90.0,30.8,5.0,1.81,Mala
32.0,69.7,95.7,110.4,36.1,20.5,2.3,Mala
21.5,60.0,14.6,20.6,20.9,1.6,0.94,Buena
29.6,63.1,12.8,15.9,22.0,3.8,1.16,Buena
17.5,73.8,3.3,8.8,16.2,8.4,0.83,Excelente
33.2,49.8,1.4,23.3,23.0,25.8,2.06,Excelente
58.6,66.0,44.0,54.0,44.3,22.7,3.09,Regular
28.1,51.8,36.0,40.3,26.4,5.4,1.15,Regular
32.0,74.9,43.3,45.5,28.8,9.5,1.42,Regular
25.0,63.9,9.3,10.8,15.8,4.6,0.92,Excelente
25.7,69.3,15.7,25.0,27.7,10.6,1.44,Buena
35.1,69.2,7.9,30.3,35.3,27.6,2.07,Excelente
26.7,63.2,6.8,9.3,13.4,4.9,0.98,Excelente
20.4,44.9,4.6,9.2,20.5,5.7,1.03,Excelente
24.6,84.2,5.2,19.2,22.5,9.0,1.48,Excelente
25.9,62.8,25.8,35.6,31.2,19.0,1.48,Buena
22.1,54.0,10.6,15.4,13.9,8.9,1.0,Excelente
34.1,97.9,54.0,76.8,31.6,16.4,2.15,Regular
24.9,63.5,6.1,13.9,17.2,4.3,1.18,Excelente
28.0,55.2,12.4,21.2,27.7,3.7,0.99,Buena
26.7,53.9,2.9,6.4,11.1,6.6,0.96,Excelente
30.4,101.1,28.6,42.6,39.9,4.0,2.2,Buena
41.4,65.4,34.3,52.8,42.7,9.4,1.87,Buena
25.5,73.4,13.8,21.4,25.7,3.8,0.95,Buena
28.2,49.6,17.0,21.7,19.7,11.3,0.99,Buena
36.6,75.5,32.2,41.3,32.1,9.4,1.95,Buena
18.8,77.7,11.0,15.8,20.0,5.6,1.09,Excelente
26.3,77.5,23.1,29.5,15.1,3.7,0.92,Buena
34.9,96.9,11.4,30.2,36.5,20.3,1.89,Excelente
23.0,50.7,1.1,5.0,24.8,2.1,1.12,Excelente
22.3,78.8,19.3,26.0,26.1,5.5,0.82,Buena
21.4,76.9,2.3,6.7,23.4,2.8,1.09,Excelente
44.7,75.6,6.6,28.3,25.7,23.5,2.1,Excelente
22.4,73.0,12.2,15.0,26.6,3.6,0.97,Buena
32.3,82.0,8.8,18.7,29.8,14.7,2.03,Excelente
33.5,70.8,8.1,16.3,22.0,15.9,1.63,Excelente
33.1,52.0,7.2,15.9,38.9,12.1,1.46,Excelente
25.5,48.0,15.5,19.9,18.6,7.7,1.04,Buena
29.9,77.8,1.5,23.4,43.8,20.0,1.89,Excelente
29.3,67.5,1.9,5.0,12.1,4.5,1.12,Excelente
23.9,73.9,25.9,28.5,21.5,3.1,1.45,Buena
23.7,40.0,20.7,23.0,20.4,6.2,1.05,Buena
21.9,70.1,5.4,10.4,13.5,1.1,1.09,Excelente
44.9,105.8,24.5,47.4,39.9,26.7,2.36,Buena
27.0,45.5,6.2,13.0,24.3,5.0,1.01,Excelente
49.6,87.5,81.9,87.0,40.4,18.4,2.14,Mala
33.4,78.5,101.6,109.9,19.3,9.2,1.32,Mala
23.5,51.6,0.0,8.3,23.5,7.4,0.92,Excelente
22.2,75.7,19.0,20.7,20.1,5.3,1.03,Buena
35.4,51.9,48.4,53.0,21.0,10.4,1.53,Regular
41.5,68.2,3.4,15.4,24.5,6.4,1.38,Excelente
21.0,60.5,4.6,8.9,15.1,6.8,0.93,Excelente
31.3,73.7,20.3,30.7,31.5,12.5,1.76,Buena
46.8,91.6,240.1,261.5,40.3,37.6,2.46,Muy Mala
23.9,66.7,14.3,16.9,21.8,7.8,1.07,Buena
24.6,45.1,0.4,6.4,21.2,1.7,0.94,Excelente
24.1,59.3,14.4,33.1,31.0,16.7,2.0,Buena
41.4,82.2,73.6,89.8,35.1,13.3,2.84,Mala
22.5,73.0,0.2,6.2,15.0,5.5,0.95,Excelente
26.7,57.9,50.0,59.6,26.3,9.4,1.68,Regular
24.6,51.3,3.9,8.0,21.7,5.9,0.98,Excelente
32.0,70.7,8.4,11.3,24.5,6.1,1.6,Excelente
29.5,77.2,27.9,44.4,26.3,23.1,1.68,Buena
32.5,68.3,33.2,40.1,29.0,9.5,1.52,Buena
33.0,56.8,1.9,5.0,36.1,7.6,1.75,Excelente
30.1,86.8,7.3,22.4,27.9,6.0,1.29,Excelente
22.3,75.4,0.7,4.7,23.7,7.3,0.93,Excelente
27.4,81.5,18.9,30.4,22.6,12.8,1.55,Buena
28.3,40.6,2.3,6.9,25.3,4.0,0.88,Excelente
30.8,68.9,2.0,11.5,23.6,13.0,1.46,Excelente
27.7,78.7,1.1,20.5,28.2,9.8,1.53,Excelente
33.3,82.6,1.2,5.6,30.1,5.9,1.32,Excelente
22.9,66.9,7.8,16.3,21.8,8.1,1.07,Excelente
29.6,78.9,9.3,19.0,31.3,11.2,1.74,Excelente
28.0,83.9,20.9,37.3,21.3,11.1,1.56,Buena
33.4,85.5,11.7,31.7,41.7,12.4,2.03,Excelente
22.9,40.5,3.7,7.3,13.4,0.9,1.12,Excelente
23.1,59.7,13.3,25.3,22.9,14.1,1.3,Buena
36.2,77.1,35.3,43.9,20.4,14.4,1.38,Buena
27.6,75.9,20.3,25.9,26.6,4.9,1.11,Buena
32.8,60.4,1.6,12.8,28.1,5.7,1.36,Excelente
21.6,71.5,1.3,6.5,23.8,4.8,0.89,Excelente
31.4,81.8,4.3,17.5,21.8,12.8,1.47,Excelente
27.4,63.0,11.0,21.1,23.2,9.6,1.27,Excelente
24.2,64.4,1.1,7.2,11.7,8.6,1.08,Excelente
47.3,88.4,104.9,127.4,44.6,21.7,2.71,Mala
40.0,88.7,29.3,46.0,45.1,20.7,2.03,Buena
29.2,72.1,25.5,32.3,13.3,5.7,1.08,Buena
20.1,41.7,3.6,8.2,23.2,9.1,0.97,Excelente
