PM10,"PM2,5",NO2,O3,HUMEDAD,LLUVIA,TEMPERATURA,VEL.VIENTO,DIR. VIENTO,ICA_PM2.5,ICA_PM10,ICA_NO2,ICA_O3,Calidad_Aire
15.376,6.903999999999999,16.47052,3.15188,83.088,0.024,18.108,1.324,239.824,Buena,Buena,Buena,Buena,Buena
14.86,6.983999999999999,5.26768,11.18708,86.368,0.084,22.076,1.104,198.772,Buena,Buena,Buena,Buena,Buena
15.160000000000002,6.92,10.95028,6.03708,86.312,0.064,21.980000000000004,1.1360000000000003,238.64399999999995,Buena,Buena,Buena,Buena,Buena
15.464000000000002,6.587999999999999,12.8084,7.955520000000001,84.7,0.184,22.268,0.9760000000000002,220.6,Buena,Buena,Buena,Buena,Buena
17.300000000000004,7.688,7.9376,3.9467,88.352,0.0,21.508,1.384,207.856,Buena,Buena,Buena,Buena,Buena
17.332,7.388000000000001,8.677240000000001,13.77974,87.28399999999999,0.004,21.160000000000004,0.9079999999999998,237.556,Buena,Buena,Buena,Buena,Buena
21.512,8.716,18.52708,11.81758,83.196,0.02,22.008,0.916,248.084,Buena,Buena,Buena,Buena,Buena
23.352,10.312,32.70652,14.79656,72.172,0.02,24.608,1.4040000000000004,209.536,Buena,Buena,Buena,Buena,Buena
23.608,10.588,36.6212,43.82,66.292,0.004,25.828000000000003,1.656,224.256,Buena,Buena,Buena,Buena,Buena
22.612,10.547999999999998,20.58364,75.29,55.44,0.0,28.028,1.44,245.492,Buena,Buena,Buena,Mala,Mala
23.868,10.348,19.51928,88.4,47.39999999999999,0.0,29.344,1.388,241.776,Buena,Buena,Buena,Mala,Mala
23.236,9.808000000000002,8.19016,80.71,46.232000000000006,0.0,29.836,1.464,244.1440000000001,Buena,Buena,Buena,Mala,Mala
19.168,8.348,9.669440000000002,67.86,48.272000000000006,0.0,30.212,1.6,250.94,Buena,Buena,Buena,Regular,Regular
18.86,7.708,10.373,65.78,54.68000000000001,0.0,29.232,1.452,236.796,Buena,Buena,Buena,Regular,Regular
18.82,8.388,10.62556,65.97000000000001,54.788,0.0,29.256000000000007,1.6920000000000002,241.032,Buena,Buena,Buena,Regular,Regular
19.488000000000003,8.680000000000001,10.932240000000002,67.87,56.42,0.0,28.892,1.332,267.816,Buena,Buena,Buena,Regular,Regular
19.44,7.92,12.73624,54.45,61.48,0.0,27.748,1.108,252.084,Buena,Buena,Buena,Regular,Regular
21.656,8.06,16.524639999999998,43.5551,67.89599999999999,0.0,26.692,1.396,259.92,Buena,Buena,Buena,Buena,Buena
22.468,8.8,25.56268,33.61,72.304,0.0,25.616000000000003,1.292,285.728,Buena,Buena,Buena,Buena,Buena
21.22,8.288,36.63924,28.51,73.892,0.0,25.448,1.616,287.24,Buena,Buena,Buena,Buena,Buena
19.184,8.044,26.6992,22.87402,73.276,0.0,24.860000000000003,2.148,245.908,Buena,Buena,Buena,Buena,Buena
17.432,7.492,27.61924,25.24138,80.804,0.0319999999999999,24.128,1.352,278.508,Buena,Buena,Buena,Buena,Buena
15.223999999999998,6.748,11.0946,26.360000000000003,79.892,0.08,23.136,1.58,297.304,Buena,Buena,Buena,Buena,Buena
15.012,6.0600000000000005,16.00148,38.51,90.256,3.412,20.524,1.564,224.85600000000005,Buena,Buena,Buena,Buena,Buena
10.468,4.68,12.93468,36.94,89.82000000000001,0.8920000000000001,20.232000000000003,1.528,252.036,Buena,Buena,Buena,Buena,Buena
11.816,5.08,9.94004,25.11328,90.156,0.292,20.056,1.608,223.164,Buena,Buena,Buena,Buena,Buena
13.044,5.632,6.494400000000001,20.04316,90.628,0.12,19.988,1.7759999999999998,231.08,Buena,Buena,Buena,Buena,Buena
13.26,5.843999999999999,10.62556,18.2,89.42,0.056,20.324,1.7279999999999998,220.04,Buena,Buena,Buena,Buena,Buena
10.696,4.544,11.40128,14.89,88.648,0.076,19.884000000000004,2.02,207.488,Buena,Buena,Buena,Buena,Buena
11.164,4.427999999999999,24.40812,7.830000000000002,85.708,0.028,20.552,1.8080000000000005,230.372,Buena,Buena,Buena,Buena,Buena
12.684,5.1,27.420800000000003,5.8,82.796,0.016,20.752,1.6800000000000002,230.2,Buena,Buena,Buena,Buena,Buena
19.464,7.12,22.96492,22.24946,73.29599999999999,0.0,23.068,1.928,219.54,Buena,Buena,Buena,Buena,Buena
19.66,6.612,21.936640000000004,34.08568,65.89599999999999,0.0,24.772,1.768,243.584,Buena,Buena,Buena,Buena,Buena
18.116,6.5120000000000005,9.8318,55.8369,54.004,0.0,27.244,2.016,229.812,Buena,Buena,Buena,Regular,Regular
19.364,6.112,9.669440000000002,63.31546,46.7,0.0,28.22,1.896,248.98,Buena,Buena,Buena,Regular,Regular
18.688,6.7,7.666999999999999,76.31208000000001,41.928,0.0,30.184000000000005,1.98,214.304,Buena,Buena,Buena,Mala,Mala
19.752,6.843999999999999,12.9888,69.20256,51.424,0.0,29.424,1.868,245.452,Buena,Buena,Buena,Regular,Regular
17.696,6.836,12.91664,57.16,62.0,0.0,27.336,1.988,280.75600000000003,Buena,Buena,Buena,Regular,Regular
18.0,7.008,12.86252,63.59412,60.088,0.0,27.848000000000003,2.032,293.79200000000003,Buena,Buena,Buena,Regular,Regular
18.1,7.424000000000001,16.48856,66.35,61.952,0.0,27.444,1.952,293.44,Buena,Buena,Buena,Regular,Regular
17.656,7.156000000000001,12.28524,65.87,59.412,0.0,27.576,1.812,275.688,Buena,Buena,Buena,Regular,Regular
24.056,8.324,29.27892,48.38,68.512,0.0,25.828,2.268,279.04800000000006,Buena,Buena,Buena,Buena,Buena
24.348000000000003,8.284,40.4998,33.370000000000005,70.628,0.0,25.444,2.428,261.712,Buena,Buena,Buena,Buena,Buena
29.488,9.46,58.64804,14.6,71.35600000000001,0.0,24.924,2.204,272.92400000000004,Buena,Buena,Regular,Buena,Regular
20.66,6.839999999999999,46.904,28.59,71.50399999999999,0.0,24.1,2.196,196.176,Buena,Buena,Buena,Buena,Buena
20.876,7.256,51.2336,13.82,70.65200000000002,0.0,23.796000000000003,1.684,279.12,Buena,Buena,Buena,Buena,Buena
18.416,6.532000000000001,41.1312,15.07556,70.932,0.0,23.152,1.6759999999999995,279.932,Buena,Buena,Buena,Buena,Buena
16.896,6.523999999999999,24.76892,19.45,72.764,0.0,22.772,1.472,288.096,Buena,Buena,Buena,Buena,Buena
15.792000000000002,6.231999999999999,17.28232,22.81256,73.748,0.0,22.66,1.7600000000000002,285.736,Buena,Buena,Buena,Buena,Buena
15.952000000000002,6.340000000000001,20.24088,24.290000000000006,75.564,0.0239999999999999,22.296,1.6439999999999997,205.608,Buena,Buena,Buena,Buena,Buena
16.62,6.2,6.656760000000001,23.84,76.768,0.0479999999999999,21.656,1.424,271.908,Buena,Buena,Buena,Buena,Buena
